_id,AnnoS,AteneoCOD,AteneoNOME,ClasseNUMERO,CorsoNOME,SedeC,IstatP,Lau
27,2018,1504,Milano Cattolica,L-18,Economia e Gestione Aziendale,MILANO,15,938
28,2016,1504,Milano Cattolica,L-18,Economia e Gestione Aziendale,MILANO,15,919
29,2020,1503,Milano Bocconi,L-18,Economia Aziendale e Management,MILANO,15,918
30,2019,6307,Napoli Pegaso - telematica,LM-56,Scienze Economiche,NAPOLI,63,914
31,2017,3701,Bologna,LMG/01,Giurisprudenza,BOLOGNA,37,899
32,2016,6301,Napoli Federico II,LMG/01,Corso di Laurea Magistrale in Giurisprudenza,NAPOLI,63,898
33,2017,1504,Milano Cattolica,L-18,Economia e Gestione Aziendale,MILANO,15,897
34,2015,1504,Milano Cattolica,L-18,Economia e Gestione Aziendale,MILANO,15,891
35,2018,3701,Bologna,LMG/01,Giurisprudenza,BOLOGNA,37,888
36,2017,1503,Milano Bocconi,L-18,Economia Aziendale e Management,MILANO,15,882
37,2018,1503,Milano Bocconi,L-18,Economia Aziendale e Management,MILANO,15,875
38,2019,3701,Bologna,LMG/01,Giurisprudenza,BOLOGNA,37,872
39,2018,6307,Napoli Pegaso - telematica,L-19,Scienze dell'Educazione e della Formazione,NAPOLI,63,853
40,2020,3701,Bologna,LMG/01,Giurisprudenza,BOLOGNA,37,852
41,2016,1502,Milano Politecnico,LM-04,Architettura,MILANO,15,843
42,2019,101,Torino,L-18,Economia Aziendale,TORINO,1,838
43,2018,101,Torino,L-18,Economia Aziendale,TORINO,1,829
44,2015,1502,Milano Politecnico,LM-04,Architettura,MILANO,15,823
45,2015,101,Torino,L-18,Economia Aziendale,TORINO,1,821
46,2016,3701,Bologna,LMG/01,Giurisprudenza,BOLOGNA,37,815
47,2019,6307,Napoli Pegaso - telematica,LM-85,Scienze Pedagogiche,NAPOLI,63,799
48,2020,6307,Napoli Pegaso - telematica,L-07,Ingegneria Civile,NAPOLI,63,797
49,2017,5815,Roma UNICUSANO - telematica,L-36,Scienze Politiche e Relazioni Internazionali,ROMA,58,776
50,2019,5801,Roma La Sapienza,L/SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),ROMA,58,770
51,2016,101,Torino,L-18,Economia Aziendale,TORINO,1,754
52,2017,101,Torino,L-18,Economia Aziendale,TORINO,1,749
53,2020,5805,Roma LUISS,L-18,Economia e Management,ROMA,58,746
54,2019,1502,Milano Politecnico,LM-31,Management Engineering - Ingegneria Gestionale,MILANO,15,739
55,2018,6307,Napoli Pegaso - telematica,L-22,Scienze Motorie,NAPOLI,63,737
56,2017,5801,Roma La Sapienza,LMG/01,Giurisprudenza,ROMA,58,729
57,2015,5815,Roma UNICUSANO - telematica,L-36,Scienze Politiche e Relazioni Internazionali,ROMA,58,725
58,2015,3701,Bologna,LMG/01,Giurisprudenza,BOLOGNA,37,721
59,2017,6307,Napoli Pegaso - telematica,L-18,Economia Aziendale,NAPOLI,63,717
60,2018,5801,Roma La Sapienza,L/SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),ROMA,58,701
61,2020,6307,Napoli Pegaso - telematica,LM-47,Management dello Sport e delle Attivit Motorie,NAPOLI,63,700
62,2020,1502,Milano Politecnico,LM-31,Management Engineering - Ingegneria Gestionale,MILANO,15,697
63,2018,1502,Milano Politecnico,LM-31,Management Engineering - Ingegneria Gestionale,MILANO,15,689
64,2015,1501,Milano,LMG/01,Giurisprudenza,MILANO,15,689
65,2019,1501,Milano,LMG/01,Giurisprudenza,MILANO,15,681
66,2017,1504,Milano Cattolica,L-12,Scienze Linguistiche,MILANO,15,679
67,2018,1501,Milano,LMG/01,Giurisprudenza,MILANO,15,677
68,2017,1502,Milano Politecnico,LM-04,Architettura,MILANO,15,672
69,2016,6901,Chieti e Pescara,L-24,Laurea in Scienze e Tecniche Psicologiche,CHIETI,69,671
70,2016,5801,Roma La Sapienza,LMG/01,Giurisprudenza,ROMA,58,670
71,2017,5807,Roma Tre,LMG/01,Giurisprudenza,ROMA,58,670
72,2018,5801,Roma La Sapienza,LMG/01,Giurisprudenza,ROMA,58,669
73,2018,1502,Milano Politecnico,LM-04,Architettura,MILANO,15,666
74,2020,1501,Milano,LMG/01,Giurisprudenza,MILANO,15,666
75,2018,5815,Roma UNICUSANO - telematica,L-18,"Economia Aziendale e Management, ",ROMA,58,660
76,2015,5801,Roma La Sapienza,L/SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),ROMA,58,659
77,2016,1501,Milano,LMG/01,Giurisprudenza,MILANO,15,658
78,2015,1504,Milano Cattolica,L-12,Scienze Linguistiche,MILANO,15,656
79,2019,102,Torino Politecnico,L-09,Ingegneria Meccanica,TORINO,1,649
80,2016,1504,Milano Cattolica,L-12,Scienze Linguistiche,MILANO,15,648
81,2016,5801,Roma La Sapienza,L/SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),ROMA,58,646
82,2019,5805,Roma LUISS,L-18,Economia e Management,ROMA,58,643
83,2017,1501,Milano,LMG/01,Giurisprudenza,MILANO,15,642
84,2020,6601,L'Aquila,L-14,Operatore Giuridico d'Impresa,L'AQUILA,66,636
85,2015,6901,Chieti e Pescara,L-24,Laurea in Scienze e Tecniche Psicologiche,CHIETI,69,632
86,2017,5801,Roma La Sapienza,L/SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),ROMA,58,629
87,2016,1502,Milano Politecnico,L-17,Scienze dell'Architettura,MILANO,15,623
88,2020,5801,Roma La Sapienza,L-18,Scienze Aziendali,ROMA,58,619
89,2017,5815,Roma UNICUSANO - telematica,L-18,"Economia Aziendale e Management, ",ROMA,58,617
90,2017,6901,Chieti e Pescara,L-24,Laurea in Scienze e Tecniche Psicologiche,CHIETI,69,614
91,2020,4801,Firenze,L-14,Scienze Giuridiche della Sicurezza,FIRENZE,48,613
92,2018,6307,Napoli Pegaso - telematica,LM-56,Scienze Economiche,NAPOLI,63,605
93,2015,1502,Milano Politecnico,L-17,Scienze dell'Architettura,MILANO,15,602
94,2016,2701,Venezia C Foscari,L-11,"Lingue, Culture e Societa dell'Asia e dell'Africa Mediterranea",VENEZIA,27,601
95,2020,5801,Roma La Sapienza,L/SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),ROMA,58,596
96,2019,6601,L'Aquila,L-14,Operatore Giuridico d'Impresa,L'AQUILA,66,595
97,2019,1501,Milano,L-12,"Mediazione Linguistica e Culturale Applicata all'Ambito Economico, Giuridico e Sociale",SESTO SAN GIOVANNI,15,593
98,2019,1502,Milano Politecnico,LM-04,Architettura,MILANO,15,593
99,2020,1504,Milano Cattolica,L-12,Scienze Linguistiche,MILANO,15,591
100,2016,7201,Bari,LMG/01,Giurisprudenza,BARI,72,591
101,2017,2701,Venezia C Foscari,L-11,"Lingue, Culture e Societa dell'Asia e dell'Africa Mediterranea",VENEZIA,27,591
102,2018,5807,Roma Tre,LMG/01,Giurisprudenza,ROMA,58,585
103,2015,5801,Roma La Sapienza,LMG/01,Giurisprudenza,ROMA,58,584
104,2018,5805,Roma LUISS,L-18,Economia e Management,ROMA,58,582
105,2019,6307,Napoli Pegaso - telematica,L-07,Ingegneria Civile,NAPOLI,63,579
106,2020,102,Torino Politecnico,L-09,Ingegneria Meccanica,TORINO,1,578
107,2020,5814,Roma  Mercatorum - telematica,L-18,Gestione di Impresa,ROMA,58,578
108,2015,5807,Roma Tre,LMG/01,Giurisprudenza,ROMA,58,578
109,2018,102,Torino Politecnico,L-09,Ingegneria Meccanica,TORINO,1,576
110,2016,5807,Roma Tre,LMG/01,Giurisprudenza,ROMA,58,569
111,2018,5815,Roma UNICUSANO - telematica,LMG/01,Giurisprudenza,ROMA,58,565
112,2015,6301,Napoli Federico II,LMG/01,Corso di Laurea Magistrale in Giurisprudenza,NAPOLI,63,555
113,2015,7201,Bari,LMG/01,Giurisprudenza,BARI,72,551
114,2017,5815,Roma UNICUSANO - telematica,LMG/01,Giurisprudenza,ROMA,58,550
115,2017,101,Torino,LMG/01,Giurisprudenza,TORINO,1,548
116,2017,1502,Milano Politecnico,LM-31,Management Engineering - Ingegneria Gestionale,MILANO,15,547
117,2018,1504,Milano Cattolica,L-12,Scienze Linguistiche,MILANO,15,543
118,2016,101,Torino,LMG/01,Giurisprudenza,TORINO,1,543
119,2019,5802,Roma Tor Vergata,L-14,Scienze Giuridiche della Sicurezza,ROMA,58,542
120,2019,5801,Roma La Sapienza,L-18,Scienze Aziendali,ROMA,58,542
121,2019,4801,Firenze,L-18,Economia Aziendale,FIRENZE,48,542
122,2019,5807,Roma Tre,LMG/01,Giurisprudenza,ROMA,58,539
123,2017,5805,Roma LUISS,L-18,Economia e Management,ROMA,58,539
124,2017,6301,Napoli Federico II,LM-77,Economia Aziendale,NAPOLI,63,536
125,2016,5815,Roma UNICUSANO - telematica,L-36,Scienze Politiche e Relazioni Internazionali,ROMA,58,534
126,2017,5801,Roma La Sapienza,L-18,Scienze Aziendali,ROMA,58,533
127,2015,101,Torino,LMG/01,Giurisprudenza,TORINO,1,532
128,2017,7201,Bari,LMG/01,Giurisprudenza,BARI,72,531
129,2017,2701,Venezia C Foscari,L-11,"Lingue, Civilta e Scienze del Linguaggio",VENEZIA,27,527
130,2020,1601,Bergamo,L-18,Economia Aziendale,BERGAMO,16,527
131,2019,5801,Roma La Sapienza,LMG/01,Giurisprudenza,ROMA,58,525
132,2020,6303,Napoli L'Orientale,L-12,Mediazione Linguistica e Culturale,NAPOLI,63,525
133,2018,7201,Bari,LMG/01,Giurisprudenza,BARI,72,524
134,2016,2701,Venezia C Foscari,L-18,Economia Aziendale - Economics And Management,VENEZIA,27,524
135,2017,1501,Milano,L-12,"Mediazione Linguistica e Culturale Applicata all'Ambito Economico, Giuridico e Sociale",SESTO SAN GIOVANNI,15,523
136,2019,6301,Napoli Federico II,L-18,Economia Aziendale,NAPOLI,63,521
137,2019,6307,Napoli Pegaso - telematica,LM-47,Management dello Sport e delle Attivit Motorie,NAPOLI,63,521
138,2016,1509,Milano Bicocca,L-19,Scienze dell'Educazione,MILANO,15,520
139,2020,1509,Milano Bicocca,L-19,Scienze dell'Educazione,MILANO,15,519
140,2020,6301,Napoli Federico II,L-18,Economia Aziendale,NAPOLI,63,516
141,2018,2701,Venezia C Foscari,L-18,Economia Aziendale - Economics And Management,VENEZIA,27,516
142,2020,6301,Napoli Federico II,LM-77,Economia Aziendale,NAPOLI,63,515
143,2016,5815,Roma UNICUSANO - telematica,LMG/01,Giurisprudenza,ROMA,58,514
144,2020,5807,Roma Tre,LMG/01,Giurisprudenza,ROMA,58,512
145,2019,6307,Napoli Pegaso - telematica,LM-26,Ingegneria della Sicurezza,NAPOLI,63,510
146,2020,1501,Milano,L-12,"Mediazione Linguistica e Culturale Applicata all'Ambito Economico, Giuridico e Sociale",SESTO SAN GIOVANNI,15,508
147,2020,5801,Roma La Sapienza,LMG/01,Giurisprudenza,ROMA,58,508
148,2020,1505,Milano IULM,L-20,Relazioni Pubbliche e Comunicazione d'Impresa,MILANO,15,507
149,2018,1601,Bergamo,L-19,Scienze dell'Educazione,BERGAMO,16,505
150,2018,1501,Milano,L-12,"Mediazione Linguistica e Culturale Applicata all'Ambito Economico, Giuridico e Sociale",SESTO SAN GIOVANNI,15,505
151,2018,5801,Roma La Sapienza,L-18,Scienze Aziendali,ROMA,58,505
152,2017,1509,Milano Bicocca,L-19,Scienze dell'Educazione,MILANO,15,504
153,2016,5805,Roma LUISS,LMG/01,Giurisprudenza,ROMA,58,504
154,2015,2701,Venezia C Foscari,L-11,"Lingue, Culture e Societa dell'Asia e dell'Africa Mediterranea",VENEZIA,27,502
155,2019,1503,Milano Bocconi,LM-77,Management,MILANO,15,502
156,2019,1601,Bergamo,L-18,Economia Aziendale,BERGAMO,16,501
157,2019,6303,Napoli L'Orientale,L-12,Mediazione Linguistica e Culturale,NAPOLI,63,500
158,2015,102,Torino Politecnico,L-17,Architettura,TORINO,1,500
159,2017,2701,Venezia C Foscari,L-18,Economia Aziendale - Economics And Management,VENEZIA,27,499
160,2020,8201,Palermo,LM-41,Medicina e Chirurgia,PALERMO,82,499
161,2018,101,Torino,LMG/01,Giurisprudenza,TORINO,1,498
162,2019,5814,Roma  Mercatorum - telematica,L-18,Gestione di Impresa,ROMA,58,497
163,2020,1601,Bergamo,L-19,Scienze dell'Educazione,BERGAMO,16,497
164,2020,5805,Roma LUISS,LMG/01,Giurisprudenza,ROMA,58,495
165,2020,4801,Firenze,L-18,Economia Aziendale,FIRENZE,48,495
166,2018,1503,Milano Bocconi,LM-77,Management,MILANO,15,495
167,2015,5805,Roma LUISS,LMG/01,Giurisprudenza,ROMA,58,494
168,2016,2701,Venezia C Foscari,L-11,"Lingue, Civilta e Scienze del Linguaggio",VENEZIA,27,492
169,2018,6901,Chieti e Pescara,L-24,Laurea in Scienze e Tecniche Psicologiche,CHIETI,69,491
170,2020,2301,Verona,L-12,Lingue e Culture per il Turismo e il Commercio Internazionale,VERONA,23,491
171,2015,1509,Milano Bicocca,L-19,Scienze dell'Educazione,MILANO,15,490
172,2019,1601,Bergamo,L-19,Scienze dell'Educazione,BERGAMO,16,489
173,2020,102,Torino Politecnico,LM-31,Ingegneria Gestionale,TORINO,1,487
174,2015,5815,Roma UNICUSANO - telematica,LMG/01,Giurisprudenza,ROMA,58,487
175,2018,1509,Milano Bicocca,L-19,Scienze dell'Educazione,MILANO,15,487
176,2015,5805,Roma LUISS,L-18,Economia e Management,ROMA,58,485
177,2016,1501,Milano,L-12,"Mediazione Linguistica e Culturale Applicata all'Ambito Economico, Giuridico e Sociale",SESTO SAN GIOVANNI,15,484
178,2019,6301,Napoli Federico II,LM-77,Economia Aziendale,NAPOLI,63,484
179,2020,1502,Milano Politecnico,L-08,Ingegneria Informatica,MILANO,15,483
180,2016,5805,Roma LUISS,L-18,Economia e Management,ROMA,58,482
181,2017,6307,Napoli Pegaso - telematica,LM-56,Scienze Economiche,NAPOLI,63,481
182,2015,2701,Venezia C Foscari,L-18,Economia Aziendale - Economics And Management,VENEZIA,27,479
183,2020,1503,Milano Bocconi,LM-77,Management,MILANO,15,478
184,2018,1502,Milano Politecnico,L-09,Ingegneria Meccanica,MILANO,15,477
185,2020,1301,Novedrate e-Campus - telematica,L-22,Scienze delle Attivita' Motorie e Sportive,NOVEDRATE,13,475
186,2019,1504,Milano Cattolica,L-12,Scienze Linguistiche,MILANO,15,475
187,2020,3801,Ferrara,L-18,Economia,FERRARA,38,474
188,2019,1601,Bergamo,L-11,Lingue e Letterature Straniere Moderne,BERGAMO,16,473
189,2020,1502,Milano Politecnico,L-09,Ingegneria Meccanica,MILANO,15,473
190,2020,101,Torino,L-12,Scienze della Mediazione Linguistica,TORINO,1,472
191,2018,5805,Roma LUISS,LMG/01,Giurisprudenza,ROMA,58,472
192,2016,5802,Roma Tor Vergata,L-18,Economia e Management,ROMA,58,472
193,2016,8201,Palermo,LMG/01,Giurisprudenza,PALERMO,82,470
194,2019,2301,Verona,L-12,Lingue e Culture per il Turismo e il Commercio Internazionale,VERONA,23,470
195,2018,6303,Napoli L'Orientale,L-12,Mediazione Linguistica e Culturale,NAPOLI,63,469
196,2018,6307,Napoli Pegaso - telematica,L-07,Ingegneria Civile,NAPOLI,63,468
197,2017,6601,L'Aquila,L-14,Operatore Giuridico d'Impresa,L'AQUILA,66,468
198,2015,8201,Palermo,LMG/01,Giurisprudenza,PALERMO,82,468
199,2017,6301,Napoli Federico II,L-18,Economia Aziendale,NAPOLI,63,467
200,2017,1503,Milano Bocconi,LM-77,Management,MILANO,15,466
201,2017,5805,Roma LUISS,LMG/01,Giurisprudenza,ROMA,58,465
202,2015,6301,Napoli Federico II,LMG/01,Giurisprudenza,NAPOLI,63,464
203,2017,1502,Milano Politecnico,L-09,Ingegneria Meccanica,MILANO,15,462
204,2017,102,Torino Politecnico,L-09,Ingegneria Meccanica,TORINO,1,462
205,2020,3701,Bologna,LM-41,Medicina e Chirurgia,BOLOGNA,37,461
206,2016,6601,L'Aquila,L-14,Operatore Giuridico d'Impresa,L'AQUILA,66,457
207,2019,3701,Bologna,L-36,"Scienze Politiche, Sociali e Internazionali",BOLOGNA,37,456
208,2019,2801,Padova,LM-41,Medicina e Chirurgia,PADOVA,28,455
209,2020,102,Torino Politecnico,L-08,Ingegneria Informatica,TORINO,1,455
210,2020,3401,Parma,L-18,Economia e Management,PARMA,34,454
211,2018,6301,Napoli Federico II,L-18,Economia Aziendale,NAPOLI,63,454
212,2016,2301,Verona,L-12,Lingue e Culture per il Turismo e il Commercio Internazionale,VERONA,23,453
213,2015,1501,Milano,L-12,"Mediazione Linguistica e Culturale Applicata all'Ambito Economico, Giuridico e Sociale",SESTO SAN GIOVANNI,15,451
214,2017,1601,Bergamo,L-19,Scienze dell'Educazione,BERGAMO,16,451
215,2019,1509,Milano Bicocca,L-19,Scienze dell'Educazione,MILANO,15,451
216,2015,6307,Napoli Pegaso - telematica,L-18,Economia Aziendale,NAPOLI,63,450
217,2018,1501,Milano,LM-41,Medicina e Chirurgia,MILANO,15,449
218,2017,102,Torino Politecnico,L-17,Architettura,TORINO,1,448
219,2019,3701,Bologna,L-10,Lettere,BOLOGNA,37,448
220,2020,1502,Milano Politecnico,L-17,Progettazione dellArchitettura,MILANO,15,448
221,2020,101,Torino,LMG/01,Giurisprudenza,TORINO,1,447
222,2020,6301,Napoli Federico II,LM-41,Corso di Laurea Magistrale in Medicina e Chirurgia,NAPOLI,63,447
223,2016,102,Torino Politecnico,L-17,Architettura,TORINO,1,447
224,2016,1504,Milano Cattolica,LMG/01,Giurisprudenza,MILANO,15,446
225,2017,6501,Salerno,LMG/01,Giurisprudenza,FISCIANO,65,445
226,2019,4801,Firenze,L-19,Scienze dell'Educazione e della Formazione,FIRENZE,48,445
227,2020,3701,Bologna,L-20,Scienze della Comunicazione,BOLOGNA,37,443
228,2015,2701,Venezia C Foscari,L-11,"Lingue, Civilta e Scienze del Linguaggio",VENEZIA,27,443
229,2017,1502,Milano Politecnico,L-17,Scienze dell'Architettura,MILANO,15,442
230,2019,101,Torino,LMG/01,Giurisprudenza,TORINO,1,441
231,2020,5816,Roma San Raffaele - telematica,LM-61,Scienze della Nutrizione Umana,ROMA,58,441
232,2019,1502,Milano Politecnico,L-08,Ingegneria Informatica,MILANO,15,441
233,2020,1301,Novedrate e-Campus - telematica,L-24,Scienze e Tecniche Psicologiche,NOVEDRATE,13,440
234,2020,1301,Novedrate e-Campus - telematica,L-33,Economia,NOVEDRATE,13,440
235,2019,5805,Roma LUISS,LMG/01,Giurisprudenza,ROMA,58,440
236,2018,3701,Bologna,L-10,Lettere,BOLOGNA,37,440
237,2017,2301,Verona,L-12,Lingue e Culture per il Turismo e il Commercio Internazionale,VERONA,23,440
238,2018,1505,Milano IULM,L-20,Relazioni Pubbliche e Comunicazione d'Impresa,MILANO,15,439
239,2020,1501,Milano,L-11,Lingue e Letterature Straniere,MILANO,15,438
240,2018,6301,Napoli Federico II,LM-77,Economia Aziendale,NAPOLI,63,437
241,2015,5807,Roma Tre,L-18,Economia e Gestione Aziendale,ROMA,58,437
242,2016,1501,Milano,L-11,Lingue e Letterature Straniere,MILANO,15,437
243,2015,1504,Milano Cattolica,LMG/01,Giurisprudenza,MILANO,15,436
244,2016,1503,Milano Bocconi,L-18,"International Economics, Management And Finance",MILANO,15,435
245,2015,8701,Catania,LMG/01,Giurisprudenza,CATANIA,87,435
246,2020,2701,Venezia C Foscari,L-18,Economia Aziendale,VENEZIA,27,435
247,2020,3701,Bologna,L-36,"Scienze Politiche, Sociali e Internazionali",BOLOGNA,37,433
248,2016,1601,Bergamo,L-19,Scienze dell'Educazione,BERGAMO,16,433
249,2018,6307,Napoli Pegaso - telematica,LM-85,Scienze Pedagogiche,NAPOLI,63,433
250,2018,1601,Bergamo,L-11,Lingue e Letterature Straniere Moderne,BERGAMO,16,433
251,2018,4801,Firenze,L-18,Economia Aziendale,FIRENZE,48,433
252,2020,1502,Milano Politecnico,LM-21,Biomedical Engineering - Ingegneria Biomedica,MILANO,15,432
253,2015,102,Torino Politecnico,L-09,Ingegneria Meccanica,TORINO,1,430
254,2018,1509,Milano Bicocca,L-24,Scienze e Tecniche Psicologiche,MILANO,15,429
255,2020,1601,Bergamo,L-11,Lingue e Letterature Straniere Moderne,BERGAMO,16,428
256,2019,3401,Parma,L-18,Economia e Management,PARMA,34,427
257,2019,102,Torino Politecnico,LM-31,Ingegneria Gestionale,TORINO,1,427
258,2016,8701,Catania,LMG/01,Giurisprudenza,CATANIA,87,427
259,2016,1502,Milano Politecnico,L-09,Ingegneria Meccanica,MILANO,15,426
260,2016,102,Torino Politecnico,L-09,Ingegneria Meccanica,TORINO,1,426
261,2019,1505,Milano IULM,L-20,Relazioni Pubbliche e Comunicazione d'Impresa,MILANO,15,425
262,2019,1501,Milano,LM-41,Medicina e Chirurgia,MILANO,15,425
263,2019,1509,Milano Bicocca,L-24,Scienze e Tecniche Psicologiche,MILANO,15,423
264,2020,5816,Roma San Raffaele - telematica,L-22,Scienze Motorie,ROMA,58,423
265,2019,1502,Milano Politecnico,L-09,Ingegneria Meccanica,MILANO,15,421
266,2019,3701,Bologna,L-36,Scienze Internazionali e Diplomatiche,FORLI',40,419
267,2016,1503,Milano Bocconi,LM-77,Management,MILANO,15,419
268,2015,5802,Roma Tor Vergata,L-18,Economia e Management,ROMA,58,419
269,2019,102,Torino Politecnico,L-08,Ingegneria Informatica,TORINO,1,419
270,2018,2301,Verona,L-12,Lingue e Culture per il Turismo e il Commercio Internazionale,VERONA,23,419
271,2018,5807,Roma Tre,L-19,Scienze dell'Educazione,ROMA,58,418
272,2015,2702,Venezia Iuav,L-17,Scienze dell'Architettura,VENEZIA,27,418
273,2016,5802,Roma Tor Vergata,L/SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),ROMA,58,418
274,2020,4801,Firenze,L/SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),FIRENZE,48,418
275,2015,2301,Verona,L-12,Lingue e Culture per il Turismo e il Commercio Internazionale,VERONA,23,417
276,2015,6601,L'Aquila,L-14,Operatore Giuridico d'Impresa,L'AQUILA,66,417
277,2017,1504,Milano Cattolica,LMG/01,Giurisprudenza,MILANO,15,417
278,2017,5807,Roma Tre,L-18,Economia e Gestione Aziendale,ROMA,58,417
279,2017,3701,Bologna,L-10,Lettere,BOLOGNA,37,415
280,2015,1503,Milano Bocconi,LM-77,Management,MILANO,15,415
281,2020,6304,Napoli Benincasa,L-19,Scienze dell'Educazione,NAPOLI,63,415
282,2020,4801,Firenze,LM-41,Medicina e Chirurgia,FIRENZE,48,414
283,2018,3701,Bologna,LM-41,Medicina e Chirurgia,BOLOGNA,37,414
284,2017,5807,Roma Tre,L-19,Scienze dell'Educazione,ROMA,58,413
285,2019,2701,Venezia C Foscari,L-11,"Lingue, Civilta e Scienze del Linguaggio",VENEZIA,27,412
286,2019,7201,Bari,LMG/01,Giurisprudenza,BARI,72,412
287,2020,2801,Padova,LM-41,Medicina e Chirurgia,PADOVA,28,410
288,2017,6303,Napoli L'Orientale,L-12,Mediazione Linguistica e Culturale,NAPOLI,63,410
289,2018,1601,Bergamo,L-18,Economia Aziendale,BERGAMO,16,409
290,2020,7201,Bari,LMG/01,Giurisprudenza,BARI,72,409
291,2020,1509,Milano Bicocca,L-24,Scienze e Tecniche Psicologiche,MILANO,15,409
292,2020,3701,Bologna,L-10,Lettere,BOLOGNA,37,408
293,2020,6501,Salerno,L-18,Economia e Management,FISCIANO,65,408
294,2020,4801,Firenze,L-24,Scienze e Tecniche Psicologiche,FIRENZE,48,406
295,2020,1502,Milano Politecnico,L-09,Ingegneria Aerospaziale,MILANO,15,406
296,2019,5807,Roma Tre,L-19,Scienze dell'Educazione,ROMA,58,406
297,2018,1503,Milano Bocconi,L-18,International Economics And Management,MILANO,15,406
298,2018,5802,Roma Tor Vergata,L-18,Economia e Management,ROMA,58,405
299,2020,2701,Venezia C Foscari,L-11,"Lingue, Civilt e Scienze del Linguaggio",VENEZIA,27,405
300,2020,6301,Napoli Federico II,L-10,Corso di Laurea in Lettere Moderne,NAPOLI,63,405
301,2019,8301,Messina,L-22,"Scienze Motorie, Sport e Salute",MESSINA,83,404
302,2015,1503,Milano Bocconi,L-18,"International Economics, Management And Finance",MILANO,15,404
303,2016,4801,Firenze,LMG/01,Giurisprudenza,FIRENZE,48,403
304,2016,6307,Napoli Pegaso - telematica,L-18,Economia Aziendale,NAPOLI,63,403
305,2016,5807,Roma Tre,L-18,Economia e Gestione Aziendale,ROMA,58,402
306,2020,6901,Chieti e Pescara,L-24,Scienze e Tecniche Psicologiche,CHIETI,69,402
307,2020,3801,Ferrara,L-02,Biotecnologie,FERRARA,38,402
308,2019,3701,Bologna,L-20,Scienze della Comunicazione,BOLOGNA,37,398
309,2019,5801,Roma La Sapienza,L-11,"Lingue, Culture, Letterature, Traduzione",ROMA,58,398
310,2020,101,Torino,L-20,Scienze della Comunicazione,TORINO,1,397
311,2017,5802,Roma Tor Vergata,L-18,Economia e Management,ROMA,58,397
